resultId,raceId,driverId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,position_change,is_fastest_lap,driver_experience,grid_experience_interaction,avg_position_last_5,constructorId_2,constructorId_3,constructorId_4,constructorId_5,constructorId_6,constructorId_7,constructorId_8,constructorId_9,constructorId_10,constructorId_11,constructorId_12,constructorId_15,constructorId_16,constructorId_17,constructorId_19,constructorId_23,constructorId_51,constructorId_117,constructorId_131,constructorId_164,constructorId_205,constructorId_206,constructorId_207,constructorId_208,constructorId_209,constructorId_210,constructorId_211,constructorId_213,constructorId_214,constructorId_215,statusId_11,statusId_131
52,20,3,7,8,8,8,8,1.0,57,+55.889,5522859,57,6,1:34.072,207.109,0,0,2,16,5.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,20,10,12,13,9,9,9,0.0,57,+1:09.500,5536470,56,9,1:34.807,205.503,4,0,1,13,9.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,20,4,5,10,10,10,10,0.0,57,+1:17.181,5544151,35,13,1:35.194,204.668,0,0,3,30,7.333333333333333,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,20,22,17,12,11,11,11,0.0,57,+1:17.862,5544832,40,10,1:34.855,205.399,1,0,1,12,11.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,21,8,1,1,1,1,1,10.0,66,1:38:19.051,5899051,46,1,1:21.670,205.191,0,1,3,3,1.3333333333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,21,13,2,3,2,2,2,8.0,66,+3.228,5902279,45,2,1:21.801,204.863,1,0,2,6,1.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,21,1,22,5,3,3,3,6.0,66,+4.187,5903238,20,3,1:22.017,204.323,2,0,3,15,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,21,9,4,4,4,4,4,5.0,66,+5.694,5904745,20,4,1:22.106,204.102,0,0,3,12,3.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,21,17,10,7,5,5,5,4.0,66,+35.938,5934989,19,8,1:22.564,202.969,2,0,3,21,6.333333333333333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,21,18,16,13,6,6,6,3.0,66,+53.010,5952061,66,5,1:22.353,203.489,7,0,2,26,8.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,21,6,8,12,7,7,7,2.0,66,+58.244,5957295,48,15,1:23.549,200.576,5,0,1,12,7.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,21,15,11,8,8,8,8,1.0,66,+59.435,5958486,45,10,1:22.758,202.494,0,0,3,24,6.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,21,2,3,9,9,9,9,0.0,66,+1:03.073,5962124,21,7,1:22.519,203.08,0,0,4,36,5.25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,22,13,2,1,1,1,1,10.0,58,1:26:49.451,5209451,16,3,1:26.666,221.734,0,0,3,3,1.3333333333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,22,1,22,3,2,2,2,8.0,58,+3.779,5213230,31,2,1:26.529,222.085,1,0,4,12,2.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,22,8,1,4,3,3,3,6.0,58,+4.271,5213722,20,1,1:26.506,222.144,1,1,4,16,1.75,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,22,9,4,5,4,4,4,5.0,58,+21.945,5231396,17,4,1:26.780,221.442,1,0,4,20,3.25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,22,2,3,9,5,5,5,4.0,58,+38.741,5248192,20,5,1:27.219,220.328,4,0,5,45,5.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,22,4,5,7,6,6,6,3.0,58,+53.724,5263175,57,6,1:27.280,220.174,1,0,4,28,7.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,22,17,10,6,7,7,7,2.0,58,+1:04.229,5273680,14,7,1:27.630,219.294,-1,0,4,24,6.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,22,3,7,11,8,8,8,1.0,58,+1:11.406,5280857,55,9,1:27.795,218.882,3,0,3,33,6.333333333333333,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,22,14,9,10,9,9,9,0.0,58,+1:15.270,5284721,41,12,1:27.966,218.457,1,0,2,20,9.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,22,15,11,8,10,10,10,0.0,58,+1:16.344,5285795,52,11,1:27.926,218.556,-2,0,4,32,7.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109,23,1,22,3,1,1,1,10.0,76,2:00:42.742,7242742,71,6,1:18.510,153.152,2,0,5,15,2.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,23,9,4,5,2,2,2,8.0,76,+3.064,7245806,75,5,1:17.933,154.286,3,0,5,25,3.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
111,23,13,2,1,3,3,3,6.0,76,+4.811,7247553,76,4,1:17.886,154.379,-2,0,4,4,1.75,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
112,23,17,10,9,4,4,4,5.0,76,+19.295,7262037,74,8,1:19.036,152.133,5,0,5,45,6.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113,23,20,15,19,5,5,5,4.0,76,+24.657,7267399,74,7,1:18.787,152.614,14,0,1,19,5.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,23,22,17,14,6,6,6,3.0,76,+28.408,7271150,75,9,1:19.574,151.104,8,0,2,28,8.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,23,6,8,13,7,7,7,2.0,76,+30.180,7272922,75,13,1:19.910,150.469,6,0,2,26,7.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,23,5,23,4,8,8,8,1.0,76,+33.191,7275933,74,2,1:17.282,155.586,-4,0,4,16,5.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,23,8,1,2,9,9,9,0.0,76,+33.792,7276534,74,1,1:16.689,156.789,-7,1,5,10,3.2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129,24,9,4,2,1,1,1,10.0,70,1:36:24.227,5784227,47,4,1:17.539,202.473,1,0,6,12,2.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130,24,2,3,8,2,2,2,8.0,70,+16.495,5800722,25,2,1:17.430,202.758,6,0,6,48,5.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
131,24,14,9,13,3,3,3,6.0,70,+23.352,5807579,36,7,1:18.085,201.057,10,0,3,39,7.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,24,10,12,11,4,4,4,5.0,70,+42.627,5826854,31,17,1:19.087,198.51,7,0,2,22,6.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
133,24,13,2,6,5,5,5,4.0,70,+43.934,5828161,11,6,1:18.006,201.261,1,0,5,30,2.4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
134,24,15,11,14,6,6,6,3.0,70,+47.775,5832002,38,15,1:18.870,199.056,8,0,5,70,6.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135,24,22,17,9,7,7,7,2.0,70,+53.597,5837824,35,10,1:18.301,200.503,2,0,3,27,8.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
136,24,20,15,19,8,8,8,1.0,70,+54.120,5838347,33,12,1:18.532,199.913,11,0,2,38,6.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
137,24,5,23,7,9,9,9,0.0,70,+54.433,5838660,62,11,1:18.462,200.091,-2,0,5,35,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
